CHILI | 4th guess | SUCCESS
SCION | 5th guess | SUCCESS
BEGAT | 4th guess | SUCCESS
STACK | 5th guess | SUCCESS
PAGED | 6th guess | FAIL
SIXTY | 5th guess | SUCCESS
AUTOS | 6th guess | FAIL
CRYPT | 4th guess | SUCCESS
BULGE | 4th guess | SUCCESS
RIGOR | 5th guess | SUCCESS
SONAR | 6th guess | SUCCESS
COMET | 4th guess | SUCCESS
NANNY | 6th guess | SUCCESS
HOUND | 4th guess | SUCCESS
HAMES | 6th guess | FAIL
HORDE | 4th guess | SUCCESS
CHEST | 4th guess | SUCCESS
INANE | 6th guess | SUCCESS
PEACH | 5th guess | SUCCESS
TWINS | 5th guess | SUCCESS
STORK | 4th guess | SUCCESS
LAVAS | 6th guess | FAIL
INTER | 4th guess | SUCCESS
CLOAK | 4th guess | SUCCESS
HUMUS | 4th guess | SUCCESS
FRONT | 5th guess | SUCCESS
AUGUR | 4th guess | SUCCESS
BLURT | 4th guess | SUCCESS
FINCH | 6th guess | SUCCESS
LINGO | 6th guess | SUCCESS
FECAL | 5th guess | SUCCESS
SOOTY | 6th guess | FAIL
DUMPY | 4th guess | SUCCESS
GUAVA | 5th guess | SUCCESS
DRANK | 5th guess | SUCCESS
EVOKE | 6th guess | SUCCESS
DATUM | 4th guess | SUCCESS
PROVE | 5th guess | SUCCESS
OVOID | 5th guess | SUCCESS
NASTY | 5th guess | SUCCESS
BENCH | 4th guess | SUCCESS
NUDGE | 5th guess | SUCCESS
MULCH | 4th guess | SUCCESS
EJECT | 4th guess | SUCCESS
IVORY | 4th guess | SUCCESS
AROMA | 6th guess | SUCCESS
SADLY | 4th guess | SUCCESS
GREAT | 4th guess | SUCCESS
DROOL | 5th guess | SUCCESS
CHALK | 4th guess | SUCCESS
WINCE | 5th guess | SUCCESS
AGLOW | 4th guess | SUCCESS
PUREE | 4th guess | SUCCESS
CUSHY | 6th guess | FAIL
FORTE | 5th guess | SUCCESS
SEVEN | 4th guess | SUCCESS
IDEAL | 4th guess | SUCCESS
BATCH | 6th guess | FAIL
ROACH | 4th guess | SUCCESS
WATER | 4th guess | SUCCESS
CHARM | 5th guess | SUCCESS
MINER | 5th guess | SUCCESS
STACK | 5th guess | SUCCESS
BOARD | 4th guess | SUCCESS
RABID | 4th guess | SUCCESS
GRILL | 4th guess | SUCCESS
MARCH | 5th guess | SUCCESS
RANDY | 5th guess | SUCCESS
DATUM | 4th guess | SUCCESS
STYLE | 4th guess | SUCCESS
LEANT | 6th guess | FAIL
JIBER | 6th guess | FAIL
DOPED | 6th guess | FAIL
IDIOT | 4th guess | SUCCESS
SNOOP | 5th guess | SUCCESS
RAZOR | 4th guess | SUCCESS
AGAPE | 5th guess | SUCCESS
AFTER | 6th guess | SUCCESS
AGLOW | 4th guess | SUCCESS
BRUSH | 5th guess | SUCCESS
THICK | 5th guess | SUCCESS
BLADE | 5th guess | SUCCESS
GNASH | 4th guess | SUCCESS
LOAMY | 4th guess | SUCCESS
TYING | 5th guess | SUCCESS
FAIRY | 4th guess | SUCCESS
SCREW | 4th guess | SUCCESS
LEDGE | 5th guess | SUCCESS
CREEP | 4th guess | SUCCESS
NICHE | 5th guess | SUCCESS
WOUND | 6th guess | SUCCESS
RAVER | 6th guess | FAIL
RHINO | 4th guess | SUCCESS
GRASS | 6th guess | SUCCESS
KEBAB | 6th guess | SUCCESS
GRUFF | 5th guess | SUCCESS
MONEY | 5th guess | SUCCESS
SHALT | 5th guess | SUCCESS
WRUNG | 4th guess | SUCCESS
SPECS | 6th guess | FAIL
VERBS | 6th guess | FAIL
RENAL | 5th guess | SUCCESS
HOLLY | 5th guess | SUCCESS
SITAR | 4th guess | SUCCESS
BARER | 6th guess | FAIL
BLINK | 4th guess | SUCCESS
RHINO | 4th guess | SUCCESS
BLEAK | 4th guess | SUCCESS
